CustomerID,FirstName,LastName,Email,Phone,JoinDate,Country,TotalSpent
1,Amanda,Davis,amanda.davis@gmail.com,,2025/02/16,CA,263.43
2,Johnny,Patton,johnny.patton@yahoo.com,144.155.5662,03/13/2025,UK,621.4
3,Andrew,Vasquez,andrew.vasquez@hotmail.com,001-448-563-8867x2629,2025/05/16,UK,979.68
4,Michelle,Rogers,michelle.rogers@yahoo.com,917.488.7470x689,05/03/2025,UK,402.72
5,Valerie,Espinoza,valerie.espinoza@gmail.com,630.109.5856x96122,2025-01-04,us,525.22
6,Lori,Hill,lori.hill@yahoo.com,369-774-3562x1365,04-May-2025,usa,669.73
6,Lori,Hill,lori.hill@yahoo.com,369-774-3562x1365,04-May-2025,usa,669.73
8,Michael,Patterson,michael.patterson@yahoo.com,+1-900-745-4078,01/08/2025,UK,373.54
1,Amanda,Davis,amanda.davis@gmail.com,,2025/02/16,CA,263.43
10,Glenn,Schaefer,glenn.schaefer@yahoo.com,001-944-302-9942x220,05-Jan-2025,CA,537.89
11,Oscar,Rose,oscar.rose@hotmail.com,8258912524,16-Feb-2025,USA,177.89
12,Cheryl,Gonzalez,cherylgonzalez@hotmailcom,5969347721,01/02/2025,usa,294.6
13,Peter,Sullivan,peter.sullivan@hotmail.com,+1-229-937-9020x741,2025/04/15,US,69.24
14,Andrew,Brooks,andrew.brooks@gmail.com,513-861-7539x3576,"April 10, 2025",Canada,254.11
15,Lawrence,Burton,lawrence.burton@yahoo.com,(654)077-7370,2025-04-22,US,646.81
16,Brandon,Flores,brandon.flores@gmail.com,101-268-5374x417,03/15/2025,Canada,825.3
17,Nicole,Stanley,nicole.stanley@yahoo.com,,2025-01-10,UK,53.17
8,Michael,Patterson,michael.patterson@yahoo.com,+1-900-745-4078,01/08/2025,UK,373.54
10,Glenn,Schaefer,glenn.schaefer@yahoo.com,001-944-302-9942x220,05-Jan-2025,CA,537.89
20,Susan,Murphy,susanmurphy@hotmailcom,001-986-250-3634x88709,2025/04/01,UK,399.0
21,Michael,Riley,michael.riley@hotmail.com,501-147-1625x857,"January 24, 2025",UK,25.8
22,Sandra,Holmes,sandra.holmes@hotmail.com,646.821.5558,"March 32, 2023",USA,806.89
23,Lisa,Smith,lisasmith@gmailcom,001-189-343-3686x718,03/05/2025,US,503.58
24,Richard,,richard@hotmail.com,465-754-6140x816,"February 02, 2025",usa,958.14
25,Michael,Prince,michael.prince@gmail.com,406-352-3320,"February 01, 2025",UK,515.22
26,Adrienne,Hughes,adrienne.hughes@hotmail.com,544-939-1389,04/02/2025,Canada,825.06
27,Jeffery,,jeffery@yahoo.com,+1-585-137-7075x2569,"January 25, 2025",usa,402.43
28,Jonathan,Floyd,jonathan.floyd@gmail.com,+1-588-500-8281x18756,2025/03/10,UK,659.79
29,Diana,Hernandez,diana.hernandez@yahoo.com,,03/20/2025,UK,533.47
30,Molly,,molly@hotmail.com,+1-780-713-4486x7725,05/23/2025,usa,43.32
31,Robert,Ritter,robert.ritter@hotmail.com,,"April 06, 2025",us,289.0
32,Kevin,Lamb,kevin.lamb@gmail.com,001-657-837-4538x6700,25-Feb-2025,UK,571.59
33,Keith,,keith@gmail.com,170-199-9621x585,"April 04, 2025",USA,368.27
34,Lisa,White,lisa.white@hotmail.com,(187)023-0745,01/28/2025,usa,705.91
35,Christopher,Alvarez,christopher.alvarez@gmail.com,2512986636,11-Feb-2025,Canada,763.29
36,Henry,Torres,henry.torres@gmail.com,527-348-2772x37455,2025-01-02,USA,132.67
37,Rebecca,Patrick,rebecca.patrick@yahoo.com,441.661.6539x3705,28-Mar-2025,us,389.59
38,Emily,Hobbs,emily.hobbs@gmail.com,+1-780-526-0357x35075,22-May-2025,US,952.92
39,Sandra,Williams,sandra.williams@yahoo.com,,2025/02/18,UK,274.49
40,Kayla,Craig,kayla.craig@yahoo.com,,14-Mar-2025,US,948.04
41,Christopher,Gonzalez,christopher.gonzalez@gmail.com,469-561-7892x4366,24-May-2025,US,838.19
42,Warren,Franklin,warren.franklin@hotmail.com,(052)514-2056,2025/04/12,CA,561.88
43,Laura,Gould,laura.gould@gmail.com,001-945-131-1569,30-Jan-2025,us,261.78
44,Cody,,cody@gmail.com,738-127-2094x562,2025/05/24,CA,113.51
45,Chris,,chris@yahoo.com,250.002.5928,01/05/2025,usa,-738.74
45,Chris,,chris@yahoo.com,250.002.5928,01/05/2025,usa,-738.74
47,Jonathan,Sandoval,jonathan.sandoval@hotmail.com,(851)298-8678x0705,24-Feb-2025,us,107.7
48,Barbara,Liu,barbara.liu@yahoo.com,688-148-5753,2025/01/31,US,923.55
49,Nathan,Skinner,nathan.skinner@gmail.com,881.207.5943x35216,05-May-2025,UK,60.88
50,Jessica,Riley,jessica.riley@gmail.com,(803)190-5456x127,05/20/2025,US,299.49
51,Melissa,Rogers,melissa.rogers@yahoo.com,170.063.0464x81590,2025/01/14,US,468.73
52,William,,william@gmailcom,+1-762-534-1453x20365,2025-03-08,CA,not_available
53,George,Underwood,george.underwood@gmail.com,(038)497-9437x215,"January 25, 2025",UK,not_available
54,Cheryl,Rowe,cheryl.rowe@hotmail.com,(463)184-2174,02/18/2025,Canada,56.55
55,Kristen,Hernandez,kristen.hernandez@hotmail.com,+1-893-081-8696x342,02/19/2025,CA,-947.6
56,Jeremy,Cooper,jeremy.cooper@yahoo.com,+1-208-088-9221x554,04-Jan-2025,UK,719.84
57,Autumn,Wilson,autumn.wilson@yahoo.com,827-084-8935x95338,21-Apr-2025,UK,187.7
58,Scott,Proctor,scott.proctor@hotmail.com,0726278970,"March 32, 2023",USA,145.59
